,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0.0,536.4186046737136,[3],7.236470425317817,"[3, 3]",7.574556934257018
1,0,0.1,0.8,272.92006406596363,[6],6.654949374815355,"[6, 1]",7.076947778145232
2,0,0.1,0.9,229.21863955376472,[4],6.629368307674574,"[4, 3]",7.071674633802021
3,0,0.2,0.0,4.5528942163520436e+150,[3],7.862911173045792,"[3, 2]",8.127970324857397
4,0,0.2,0.8,221551.55337340705,[3],8.68729812269534,"[3, 5]",8.729821283101275
5,0,0.2,0.9,21385.77004408227,[3],10.291744096059183,"[3, 2]",11.013358688607823
6,0,0.3,0.0,,[3],12.08740690550036,"[3, 2]",9.040504853701131
7,0,0.3,0.8,3.9542664340483263e+67,[3],10.374927852907769,"[3, 1]",11.082840491315372
8,0,0.3,0.9,3.129341543707432e+42,[2],9.842715136268383,"[2, 3]",9.145789179644169
9,1,0.1,0.0,1170.6131062228478,[5],6.214198406438359,"[5, 2]",7.269965644589478
10,1,0.1,0.8,241.35690309065745,[4],6.453820142244346,"[4, 2]",7.137484564711088
11,1,0.1,0.9,263.1045504304737,[3],6.929517737248671,"[3, 3]",7.3155608830102254
12,1,0.2,0.0,7.387442212213683e+151,[3],7.952240970065178,"[3, 3]",8.871769806663789
13,1,0.2,0.8,4399440.187323888,[2],9.733651388844253,"[2, 3]",8.519249856493396
14,1,0.2,0.9,2926487065.9331656,[4],8.020503823420995,"[4, 3]",8.450451874369502
15,1,0.3,0.0,,[2],10.232376810405908,"[2, 2]",11.20078946900471
16,1,0.3,0.8,5.681215032197986e+65,[2],9.71368428750051,"[2, 2]",8.280296221727466
17,1,0.3,0.9,1.1175635651288344e+46,[3],8.411849710847353,"[3, 1]",9.75338887075794
18,2,0.1,0.0,885.1395446159406,[4],6.664746869683098,"[4, 3]",6.933224882400982
19,2,0.1,0.8,224.8282116878565,[5],6.2355976114483065,"[5, 1]",7.26920925598138
20,2,0.1,0.9,314.038353291737,[5],5.881716537617787,"[5, 1]",7.126598794756479
21,2,0.2,0.0,1.0305342411306749e+164,[3],8.975859707463231,"[3, 3]",8.262285836778704
22,2,0.2,0.8,30070699.76347056,[4],8.495284447055374,"[4, 1]",9.005905478021202
23,2,0.2,0.9,2100627.21250671,[4],7.751315467970282,"[4, 4]",8.5825501381986
24,2,0.3,0.0,,[2],9.963563994799465,"[2, 3]",8.652208984483552
25,2,0.3,0.8,7.119508177220303e+67,[3],9.255764488502756,"[3, 2]",8.560082826895984
26,2,0.3,0.9,1.3953238154576583e+49,[3],12.228766513103954,"[3, 2]",9.231632267258377
27,3,0.1,0.0,2574.628916547644,[4],6.591278609238191,"[4, 1]",7.542695635213056
28,3,0.1,0.8,247.10592776298373,[5],6.144242837142251,"[5, 1]",7.145276369145602
29,3,0.1,0.9,283.68393864896166,[5],6.571959636174686,"[5, 4]",6.683738363663057
30,3,0.2,0.0,1.4299875267292562e+171,[3],8.857002964091608,"[3, 1]",9.31802166778219
31,3,0.2,0.8,45147.38276354239,[3],8.564179018037542,"[3, 3]",7.940289401634016
32,3,0.2,0.9,29269.041877310112,[3],9.644053864462624,"[3, 2]",9.377309867305756
33,3,0.3,0.0,,[2],10.102885666688351,"[2, 2]",8.72210942951937
34,3,0.3,0.8,1.9223086248492912e+80,[2],11.889191164549398,"[2, 2]",8.836700349132533
35,3,0.3,0.9,2.707498459480164e+39,[3],10.958003345810246,"[3, 1]",9.757047938990212
36,4,0.1,0.0,414.4239702888214,[4],6.648856585547429,"[4, 1]",7.042168987474699
37,4,0.1,0.8,224.8022111095624,[7],6.567176228830858,"[7, 2]",6.717008282322381
38,4,0.1,0.9,230.18416222043123,[5],6.167146667708373,"[5, 2]",7.366461443237189
39,4,0.2,0.0,1.132838558673376e+167,[4],8.254013280129604,"[4, 3]",8.539218627707895
40,4,0.2,0.8,7505.047991962945,[2],10.55243661729078,"[2, 3]",8.094420843164079
41,4,0.2,0.9,12433.955957516937,[2],9.35472990650209,"[2, 2]",10.601714222205851
42,4,0.3,0.0,,[2],11.035960475164082,"[2, 3]",8.860428736499927
43,4,0.3,0.8,4.190081036838439e+83,[3],10.84048088794702,"[3, 1]",11.666194387462117
44,4,0.3,0.9,9.276607906746208e+32,[2],10.02061424391532,"[2, 2]",10.917016185406558
45,5,0.1,0.0,1005.4738054725811,[3],7.00615846677986,"[3, 2]",7.562420368986169
46,5,0.1,0.8,301.7159159177704,[3],7.355548701688715,"[3, 3]",6.955003215622528
47,5,0.1,0.9,300.23542856759826,[4],6.212357033696412,"[4, 4]",7.27909482108546
48,5,0.2,0.0,3.2874297418876628e+171,[3],8.50109991886838,"[3, 1]",9.240588271764262
49,5,0.2,0.8,126082.90889966478,[3],7.248571214855437,"[3, 2]",8.721442724558056
50,5,0.2,0.9,4889.040770009887,[2],9.195720895275244,"[2, 3]",8.457242879878256
51,5,0.3,0.0,,[3],11.047759594348838,"[3, 2]",10.39227283389184
52,5,0.3,0.8,8.476195607901523e+62,[2],9.70774295024627,"[2, 2]",8.607115552059145
53,5,0.3,0.9,3.182165633665634e+39,[3],10.099140522501282,"[3, 3]",8.824800457617698
54,6,0.1,0.0,652.2137866346252,[3],7.2024545951700745,"[3, 3]",7.426308124552576
55,6,0.1,0.8,267.860955959892,[6],6.437051151892753,"[6, 2]",7.082795955477423
56,6,0.1,0.9,225.7696583513569,[4],6.404559096140773,"[4, 2]",7.21074018453483
57,6,0.2,0.0,6.50198079319846e+145,[4],7.886046078998826,"[4, 2]",7.999981103835068
58,6,0.2,0.8,3911531.782284966,[3],8.15322276041446,"[3, 2]",9.128705429711246
59,6,0.2,0.9,106521.6549845686,[3],9.483049674747516,"[3, 2]",9.172301277758573
60,6,0.3,0.0,,[2],10.161727164610667,"[2, 2]",8.713943639212621
61,6,0.3,0.8,1.093861839176979e+76,[2],11.038374303270157,"[2, 4]",9.338792682366956
62,6,0.3,0.9,2.060227050108368e+45,[3],10.25063623403874,"[3, 3]",8.847978949498705
63,7,0.1,0.0,450.2392877464326,[4],6.592724548658787,"[4, 1]",7.122467914336454
64,7,0.1,0.8,265.6025823787391,[3],6.798811508746852,"[3, 4]",6.842450830701667
65,7,0.1,0.9,423.2170636546784,[7],6.318695690763575,"[7, 3]",7.008319778575835
66,7,0.2,0.0,6.146881075776076e+160,[2],9.22182558823345,"[2, 3]",8.81560075008708
67,7,0.2,0.8,2790137.307215894,[3],8.619229826200396,"[3, 2]",8.086507841883662
68,7,0.2,0.9,7586.125728860366,[4],8.957022462920627,"[4, 1]",9.050403981853222
69,7,0.3,0.0,,[2],10.79728865557161,"[2, 3]",8.743770146861753
70,7,0.3,0.8,3.483866615725971e+70,[3],10.211986620865389,"[3, 3]",9.442984767623786
71,7,0.3,0.9,1.437403389919672e+43,[2],10.191769865899978,"[2, 1]",9.8011671665926
72,8,0.1,0.0,1218.6733370358209,[5],6.478293205265428,"[5, 2]",6.9625756006988375
73,8,0.1,0.8,245.81449281373887,[6],6.441370540136358,"[6, 2]",7.28442333303818
74,8,0.1,0.9,223.224100703122,[4],6.146046201138428,"[4, 1]",7.096611402034268
75,8,0.2,0.0,6.622973229701291e+147,[3],10.894248784854549,"[3, 3]",8.782588263965236
76,8,0.2,0.8,5004052220.874447,[3],8.054715130906319,"[3, 2]",8.192551978222834
77,8,0.2,0.9,698424.4083545189,[4],7.815720515669637,"[4, 1]",8.895831431003884
78,8,0.3,0.0,,[3],11.118347138864976,"[3, 2]",10.802781974451047
79,8,0.3,0.8,9.82502810030037e+78,[3],10.335784601592726,"[3, 2]",8.870017442011289
80,8,0.3,0.9,2.3485180539521508e+30,[2],10.60438531914781,"[2, 2]",8.420591589781244
81,9,0.1,0.0,490.49953491428124,[4],6.588592520596748,"[4, 3]",6.949082560928532
82,9,0.1,0.8,338.3251829780349,[4],6.245565271016309,"[4, 1]",7.505975280294035
83,9,0.1,0.9,336.7029406655546,[5],6.430150600027304,"[5, 4]",6.506733492513283
84,9,0.2,0.0,,,,,
85,9,0.2,0.8,,,,,
