,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0.0,6.515480014060281e+18,[1],4648.059629913718,"[1, 2]",4478.802056460371
1,0,0.1,0.8,2.811425169599697e+16,[1],4558.412480647019,"[1, 2]",4547.01779490384
2,0,0.1,0.9,829937904702.7083,[1],4645.714469703726,"[1, 2]",4546.465443993926
3,0,0.2,0.0,6.580640175042622e+73,[1],4749.908839344069,"[1, 1]",4694.809008308079
4,0,0.2,0.8,4.02559381971774e+36,[1],4719.231747349994,"[1, 1]",4582.881147832333
5,0,0.2,0.9,1.6792843492209396e+25,[1],4587.353523751619,"[1, 2]",5029.102082486273
6,0,0.3,0.0,2.62914512121014e+153,[1],5005.227092353824,"[1, 2]",4735.503901894283
7,0,0.3,0.8,4.200153981806857e+58,[1],4713.928030751342,"[1, 1]",5064.052562114518
8,0,0.3,0.9,2.675829883416949e+39,[1],4948.535072226854,"[1, 2]",5592.05938844874
9,1,0.1,0.0,3.6093460431270695e+19,[2],4719.952322044244,"[2, 1]",4583.785090776742
10,1,0.1,0.8,3729179508250.153,[1],4659.677840624864,"[1, 1]",4559.415079419438
11,1,0.1,0.9,3892200947540.481,[1],4547.112820257548,"[1, 1]",4478.597367340426
12,1,0.2,0.0,1.778464594599684e+72,[1],4700.253105020996,"[1, 2]",4607.792920682671
13,1,0.2,0.8,1.467793689040185e+34,[1],4600.947693709347,"[1, 1]",4522.328274988302
14,1,0.2,0.9,5.056769152402159e+22,[2],4994.687365645923,"[2, 2]",4578.139233666393
15,1,0.3,0.0,2.3640621386246557e+149,[1],4725.175213208618,"[1, 1]",4640.513285662408
16,1,0.3,0.8,6.92240473863958e+52,[1],4977.382012347824,"[1, 1]",4578.589608606701
17,1,0.3,0.9,1.1748575544765545e+34,[1],4704.109799762875,"[1, 1]",4557.893489707645
18,2,0.1,0.0,2.7578044482744336e+20,[1],4636.351083322026,"[1, 2]",4563.477705518852
19,2,0.1,0.8,1.5858080288432994e+16,[1],4549.076350564862,"[1, 1]",4598.345409223313
20,2,0.1,0.9,1201224141077.0806,[1],4610.730115706291,"[1, 2]",4556.6768215851
21,2,0.2,0.0,1.9257467754113062e+74,[1],4769.313991625225,"[1, 1]",4554.277682942869
22,2,0.2,0.8,1.5127081799414696e+40,[1],4561.585114614977,"[1, 3]",4691.922821823079
23,2,0.2,0.9,1.9065015950825865e+30,[1],4580.545181443221,"[1, 2]",4563.370008120522
24,2,0.3,0.0,2.127703904218552e+148,[1],4909.753818063537,"[1, 1]",4509.463196878038
25,2,0.3,0.8,1.5438327871417283e+57,[1],4959.69670644362,"[1, 2]",4548.997004731045
26,2,0.3,0.9,4.243774181863869e+42,[1],4570.844869641251,"[1, 1]",4562.89069181017
27,3,0.1,0.0,2.025736748963325e+22,[1],4516.6735590646185,"[1, 1]",4513.465020754021
28,3,0.1,0.8,349246682102833.7,[1],4592.758811138719,"[1, 1]",4470.711046959255
29,3,0.1,0.9,417538692940.416,[1],4599.144470189023,"[1, 2]",4468.595474171407
30,3,0.2,0.0,1.1796863422107664e+88,[1],4557.981761394937,"[1, 2]",5216.464915979135
31,3,0.2,0.8,7.594208755606838e+38,[1],4584.172639246872,"[1, 2]",4814.248143495894
32,3,0.2,0.9,7.268923074533823e+28,[2],4937.684012988209,"[2, 1]",4799.633636344998
33,3,0.3,0.0,1.9032648892059e+153,[2],5373.797771133671,"[2, 2]",5954.473458977243
34,3,0.3,0.8,5.490966694347641e+62,[1],5020.343499724181,"[1, 1]",4483.93866409457
35,3,0.3,0.9,5.772815829256538e+43,[1],4653.149153527367,"[1, 1]",4743.002051277456
36,4,0.1,0.0,7.799401142854254e+22,[1],4398.154132553805,"[1, 1]",4448.213682750821
37,4,0.1,0.8,1.7914771546930164e+16,[1],4529.239688906292,"[1, 1]",4465.384470176774
38,4,0.1,0.9,244534671320.2103,[1],4446.017668632838,"[1, 1]",4471.11914121291
39,4,0.2,0.0,2.9924853937553407e+81,[1],4478.886510820353,"[1, 2]",4476.976602341982
40,4,0.2,0.8,1.202642866171063e+36,[1],4648.796124373307,"[1, 1]",4434.585812153184
41,4,0.2,0.9,5.371226943722484e+27,[1],4743.633623935269,"[1, 2]",4411.858596058395
42,4,0.3,0.0,2.0678618849707873e+147,[2],4487.94007223948,"[2, 2]",4464.323558261208
43,4,0.3,0.8,7.032892420772061e+55,[2],5055.823289519224,"[2, 1]",4469.4739332883255
