,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0.0,6.515480014060281e+18,[1],4648.059629913718,"[1, 2]",4478.802056460371
1,0,0.1,0.8,2.8114251695996972e+16,[1],4558.412480647019,"[1, 2]",4547.01779490384
2,0,0.1,0.9,829937904702.7083,[1],4645.714469703726,"[1, 2]",4546.465443993926
3,0,0.2,0.0,6.580640175042622e+73,[1],4749.908839344069,"[1, 1]",4694.809008308079
4,0,0.2,0.8,4.0255938197177395e+36,[1],4719.231747349994,"[1, 1]",4582.881147832333
5,0,0.2,0.9,,,,,
6,0,0.3,0.0,,,,,
7,0,0.3,0.8,,,,,
8,0,0.3,0.9,,,,,
9,1,0.1,0.0,,,,,
10,1,0.1,0.8,,,,,
11,1,0.1,0.9,,,,,
12,1,0.2,0.0,,,,,
13,1,0.2,0.8,,,,,
14,1,0.2,0.9,,,,,
15,1,0.3,0.0,,,,,
16,1,0.3,0.8,,,,,
17,1,0.3,0.9,,,,,
18,2,0.1,0.0,,,,,
19,2,0.1,0.8,,,,,
20,2,0.1,0.9,,,,,
21,2,0.2,0.0,,,,,
22,2,0.2,0.8,,,,,
23,2,0.2,0.9,,,,,
24,2,0.3,0.0,,,,,
25,2,0.3,0.8,,,,,
26,2,0.3,0.9,,,,,
27,3,0.1,0.0,,,,,
28,3,0.1,0.8,,,,,
29,3,0.1,0.9,,,,,
30,3,0.2,0.0,,,,,
31,3,0.2,0.8,,,,,
32,3,0.2,0.9,,,,,
33,3,0.3,0.0,,,,,
34,3,0.3,0.8,,,,,
35,3,0.3,0.9,,,,,
36,4,0.1,0.0,,,,,
37,4,0.1,0.8,,,,,
38,4,0.1,0.9,,,,,
39,4,0.2,0.0,,,,,
40,4,0.2,0.8,,,,,
41,4,0.2,0.9,,,,,
42,4,0.3,0.0,,,,,
43,4,0.3,0.8,,,,,
44,4,0.3,0.9,,,,,
45,5,0.1,0.0,,,,,
46,5,0.1,0.8,,,,,
47,5,0.1,0.9,,,,,
48,5,0.2,0.0,,,,,
49,5,0.2,0.8,,,,,
50,5,0.2,0.9,,,,,
51,5,0.3,0.0,,,,,
52,5,0.3,0.8,,,,,
53,5,0.3,0.9,,,,,
54,6,0.1,0.0,,,,,
55,6,0.1,0.8,,,,,
56,6,0.1,0.9,,,,,
57,6,0.2,0.0,,,,,
58,6,0.2,0.8,,,,,
59,6,0.2,0.9,,,,,
60,6,0.3,0.0,,,,,
61,6,0.3,0.8,,,,,
62,6,0.3,0.9,,,,,
63,7,0.1,0.0,,,,,
64,7,0.1,0.8,,,,,
65,7,0.1,0.9,,,,,
66,7,0.2,0.0,,,,,
67,7,0.2,0.8,,,,,
68,7,0.2,0.9,,,,,
69,7,0.3,0.0,,,,,
70,7,0.3,0.8,,,,,
71,7,0.3,0.9,,,,,
72,8,0.1,0.0,,,,,
73,8,0.1,0.8,,,,,
74,8,0.1,0.9,,,,,
75,8,0.2,0.0,,,,,
76,8,0.2,0.8,,,,,
77,8,0.2,0.9,,,,,
78,8,0.3,0.0,,,,,
79,8,0.3,0.8,,,,,
80,8,0.3,0.9,,,,,
81,9,0.1,0.0,,,,,
82,9,0.1,0.8,,,,,
83,9,0.1,0.9,,,,,
84,9,0.2,0.0,,,,,
85,9,0.2,0.8,,,,,
86,9,0.2,0.9,,,,,
87,9,0.3,0.0,,,,,
88,9,0.3,0.8,,,,,
89,9,0.3,0.9,,,,,
