,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0,0.439042708,[2],0.343525659,"[2, 1]",0.923425416
1,0,0.1,0.8,0.146955049,[2],0.490124938,"[2, 1]",0.962562797
2,0,0.1,0.9,1.678813481,[8],0.806927729,"[8, 2]",0.649084633
3,0,0.2,0,0.005393326,[2],0.92227819,"[2, 1]",0.82513946
4,0,0.2,0.8,0.087977782,[3],0.707075053,"[3, 1]",0.786561699
5,0,0.2,0.9,0.504418699,[3],0.063423646,"[3, 2]",0.306257969
6,0,0.3,0,0.339997259,[2],0.096439477,"[2, 1]",0.712804136
7,0,0.3,0.8,0.252535937,[2],1.402884718,"[2, 4]",1.071043746
8,0,0.3,0.9,0.000142099,[2],0.103762004,"[2, 2]",0.535784724
9,1,0.1,0,0.053744444,[2],0.889574358,"[2, 2]",0.94572307
10,1,0.1,0.8,0.362323371,[2],0.784047449,"[2, 5]",0.726946725
11,1,0.1,0.9,0.342466767,[2],0.593996318,"[2, 1]",0.620772333
12,1,0.2,0,0.180212193,[4],0.21679463,"[4, 3]",0.776967473
13,1,0.2,0.8,0.330122593,[2],0.620304627,"[2, 1]",0.845515556
14,1,0.2,0.9,0.129668203,[4],0.262082695,"[4, 5]",1.128144348
15,1,0.3,0,0.000852481,[2],0.312606952,"[2, 3]",0.886248283
16,1,0.3,0.8,0.001530166,[2],0.260018566,"[2, 1]",0.851481341
17,1,0.3,0.9,0.001468408,[2],0.196799082,"[2, 3]",0.939772573
18,2,0.1,0,0.06104476,[2],1.265535876,"[2, 1]",1.108008333
19,2,0.1,0.8,0.061059921,[2],0.486925152,"[2, 2]",0.913755682
20,2,0.1,0.9,0.027389283,[1],0.661029016,"[1, 2]",0.941439496
21,2,0.2,0,0.06440007,[2],0.563402804,"[2, 1]",0.98903397
22,2,0.2,0.8,0.170188737,[3],0.428370425,"[3, 2]",0.822554479
23,2,0.2,0.9,0.001063541,[4],0.350183761,"[4, 1]",0.839995018
24,2,0.3,0,0.000191403,[3],0.402938949,"[3, 2]",0.220028013
25,2,0.3,0.8,0.003810665,[5],0.524779784,"[5, 2]",0.736641022
26,2,0.3,0.9,0.014106295,[2],0.183788428,"[2, 2]",0.535840569
27,3,0.1,0,0.025413095,[2],0.280494706,"[2, 4]",0.639728956
28,3,0.1,0.8,0.009571272,[2],0.506530066,"[2, 2]",1.067709304
29,3,0.1,0.9,0.133404679,[3],1.021768016,"[3, 1]",1.136620152
30,3,0.2,0,0.75492262,[3],0.152036522,"[3, 3]",1.863149442
31,3,0.2,0.8,0.942003512,[2],2.263746597,"[2, 2]",0.907711154
32,3,0.2,0.9,0.905303598,[3],0.272757755,"[3, 2]",0.311667812
33,3,0.3,0,0.500135549,[3],0.049725056,"[3, 3]",2.052176808
34,3,0.3,0.8,0.258339952,[3],0.170481176,"[3, 4]",0.454327106
35,3,0.3,0.9,0.000382526,[2],0.302885846,"[2, 1]",1.309230758
36,4,0.1,0,0.014531053,[4],0.195842665,"[4, 1]",0.935991815
37,4,0.1,0.8,0.014822596,[1],0.88809024,"[1, 1]",1.375118332
38,4,0.1,0.9,0.018737663,[2],1.607335665,"[2, 1]",1.192756392
39,4,0.2,0,0.002306949,[5],0.146904478,"[5, 2]",0.981643761
40,4,0.2,0.8,0.004083815,[4],0.328283749,"[4, 3]",0.993987825
41,4,0.2,0.9,0.00603946,[3],0.142255478,"[3, 1]",0.93368392
42,4,0.3,0,3.94E-05,[2],0.348766859,"[2, 2]",1.034863884
43,4,0.3,0.8,0.001804743,[2],0.663415329,"[2, 2]",0.994139451
44,4,0.3,0.9,0.001436278,[4],0.172746214,"[4, 2]",0.768982719
45,5,0.1,0,0.086688931,[2],0.758963227,"[2, 2]",0.691227931
46,5,0.1,0.8,0.005569614,[2],0.972468755,"[2, 2]",1.029231863
47,5,0.1,0.9,0.073351891,[4],0.463125156,"[4, 1]",0.787180736
48,5,0.2,0,0.000761152,[3],0.078360773,"[3, 1]",1.095817092
49,5,0.2,0.8,1.28E-06,[2],0.479238467,"[2, 2]",0.819969081
50,5,0.2,0.9,0.001058953,[2],1.811308048,"[2, 2]",0.712087311
51,5,0.3,0,0.001769035,[4],0.405841107,"[4, 2]",1.890256703
52,5,0.3,0.8,0.008169706,[2],0.19185357,"[2, 5]",0.372165782
53,5,0.3,0.9,0.013343501,[5],0.272117318,"[5, 2]",1.889447031
54,6,0.1,0,0.008138665,[3],0.443400753,"[3, 1]",0.893513254
55,6,0.1,0.8,0.008138538,[2],0.416324666,"[2, 2]",0.959670067
56,6,0.1,0.9,0.129203369,[2],0.299981611,"[2, 1]",0.942106535
57,6,0.2,0,0.619235791,[2],0.43899836,"[2, 1]",0.968944593
58,6,0.2,0.8,0.014063782,[4],0.727295977,"[4, 1]",0.891231012
59,6,0.2,0.9,0.002846032,[5],0.682477669,"[5, 3]",0.048592275
60,6,0.3,0,0.054872818,[3],0.665092712,"[3, 4]",0.70537479
61,6,0.3,0.8,0.026498443,[2],0.212803774,"[2, 4]",0.056781954
62,6,0.3,0.9,0.653521165,[2],0.877149616,"[2, 1]",0.910760407
63,7,0.1,0,0.039659784,[2],0.569621738,"[2, 5]",0.567859578
64,7,0.1,0.8,0.020279162,[2],0.244282667,"[2, 3]",0.67996698
65,7,0.1,0.9,0.006991701,[6],0.245338275,"[6, 1]",0.643044744
66,7,0.2,0,0.226463724,[4],0.195012168,"[4, 2]",0.404808315
