,Fold,eta,alpha,Error_0_Layers,1_Layer,Error_1_Layer,2_Layers,Error_2_Layers
0,0,0.1,0.0,0.4390427077732332,[2],0.3435256586939896,"[2, 1]",0.9234254155991312
1,0,0.1,0.8,0.1469550487184512,[2],0.490124937936943,"[2, 1]",0.9625627972078744
2,0,0.1,0.9,1.678813480573706,[8],0.8069277288939909,"[8, 2]",0.6490846332660841
3,0,0.2,0.0,0.0053933260725181,[2],0.922278189854837,"[2, 1]",0.825139460298626
4,0,0.2,0.8,0.0879777822856108,[3],0.707075052863642,"[3, 1]",0.786561698594533
5,0,0.2,0.9,0.5044186985384507,[3],0.0634236461416847,"[3, 2]",0.306257968938014
6,0,0.3,0.0,0.33999725884667,[2],0.0964394774738336,"[2, 1]",0.7128041364222671
7,0,0.3,0.8,0.252535937177329,[2],1.402884718465126,"[2, 4]",1.0710437461187974
8,0,0.3,0.9,0.0001420991959076,[2],0.1037620042174884,"[2, 2]",0.5357847240861369
9,1,0.1,0.0,0.053744444364865,[2],0.8895743575324985,"[2, 2]",0.9457230700379402
10,1,0.1,0.8,0.3623233714876567,[2],0.7840474485776169,"[2, 5]",0.7269467253096162
11,1,0.1,0.9,0.342466767499326,[2],0.5939963177752625,"[2, 1]",0.6207723332741423
12,1,0.2,0.0,0.180212193420066,[4],0.2167946299153927,"[4, 3]",0.7769674732707051
13,1,0.2,0.8,0.3301225927403882,[2],0.6203046271520993,"[2, 1]",0.8455155559257421
14,1,0.2,0.9,0.1296682028313994,[4],0.2620826953670152,"[4, 5]",1.1281443482918931
15,1,0.3,0.0,0.0008524809253049,[2],0.3126069524962432,"[2, 3]",0.8862482832000818
16,1,0.3,0.8,0.0015301661259505,[2],0.2600185655606086,"[2, 1]",0.8514813409371096
17,1,0.3,0.9,0.0014684076280477,[2],0.1967990816638119,"[2, 3]",0.9397725725136132
18,2,0.1,0.0,0.0610447602918179,[2],1.2655358760066509,"[2, 1]",1.1080083333401198
19,2,0.1,0.8,0.0610599209740825,[2],0.4869251516897915,"[2, 2]",0.913755681515423
20,2,0.1,0.9,0.0273892830383305,[1],0.661029015590799,"[1, 2]",0.9414394956146436
21,2,0.2,0.0,0.0644000702378791,[2],0.5634028039212795,"[2, 1]",0.9890339695794264
22,2,0.2,0.8,0.1701887372217826,[3],0.4283704247291506,"[3, 2]",0.8225544793902034
23,2,0.2,0.9,0.0010635406423759,[4],0.3501837608126565,"[4, 1]",0.8399950175957469
24,2,0.3,0.0,0.0001914028353047,[3],0.4029389491959682,"[3, 2]",0.2200280131629238
25,2,0.3,0.8,0.0038106647475407,[5],0.5247797842530233,"[5, 2]",0.7366410222544477
26,2,0.3,0.9,0.0141062946282273,[2],0.1837884278891464,"[2, 2]",0.5358405694317379
27,3,0.1,0.0,0.0254130951110109,[2],0.2804947056438013,"[2, 4]",0.6397289559065945
28,3,0.1,0.8,0.0095712718304967,[2],0.5065300656591961,"[2, 2]",1.0677093037587744
29,3,0.1,0.9,0.1334046791645709,[3],1.021768016159852,"[3, 1]",1.136620152408856
30,3,0.2,0.0,0.7549226201764192,[3],0.1520365219016677,"[3, 3]",1.863149442128349
31,3,0.2,0.8,0.942003512449895,[2],2.2637465972872954,"[2, 2]",0.9077111543703592
32,3,0.2,0.9,0.9053035976426296,[3],0.2727577546496752,"[3, 2]",0.3116678119866469
33,3,0.3,0.0,0.5001355492369146,[3],0.0497250555903604,"[3, 3]",2.05217680768289
34,3,0.3,0.8,0.258339951864981,[3],0.1704811755322544,"[3, 4]",0.4543271058968768
35,3,0.3,0.9,0.00038252646529,[2],0.3028858458810975,"[2, 1]",1.309230758438113
36,4,0.1,0.0,0.0145310532317356,[4],0.1958426652780112,"[4, 1]",0.935991815373178
