,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0,2.05E+20,[4],20202.84928,"[4, 1]",37400.53309
1,0,0.1,0.8,1.85E+17,[2],20040.64746,"[2, 2]",26442.34421
2,0,0.1,0.9,6.5525E+14,[2],23837.66255,"[2, 1]",26487.21731
3,0,0.2,0,2.50E+44,[1],35734.37505,"[1, 1]",31559.75976
4,0,0.2,0.8,1.27E+26,[1],37319.43115,"[1, 1]",22806.62133
5,0,0.2,0.9,1.16E+21,[3],19541.41221,"[3, 1]",31388.78381
6,0,0.3,0,1.74E+71,[1],23138.60461,"[1, 2]",26683.4419
7,0,0.3,0.8,9.22E+33,[2],28602.1246,"[2, 1]",28866.84667
8,0,0.3,0.9,1.50E+24,[4],30111.54512,"[4, 2]",36884.09115
9,1,0.1,0,2.99E+21,[2],16517.31363,"[2, 1]",32144.41548
10,1,0.1,0.8,7.77E+17,[2],22680.0913,"[2, 1]",20262.44611
11,1,0.1,0.9,3.22088E+14,[3],30357.6996,"[3, 3]",31917.37878
12,1,0.2,0,3.27E+46,[2],22201.90391,"[2, 1]",28392.03694
13,1,0.2,0.8,1.51E+29,[1],20484.10045,"[1, 1]",30147.37891
14,1,0.2,0.9,1.02E+23,[1],22315.05606,"[1, 1]",22882.85715
15,1,0.3,0,6.90E+75,[1],38102.24347,"[1, 3]",32153.00734
16,1,0.3,0.8,1.31E+33,[1],29505.97082,"[1, 1]",24348.55531
17,1,0.3,0.9,3.40E+24,[1],21983.24025,"[1, 1]",28417.84296
18,2,0.1,0,1.52E+19,[2],19922.60458,"[2, 2]",29115.74252
19,2,0.1,0.8,2.41E+16,[2],27720.87186,"[2, 1]",22162.21424
20,2,0.1,0.9,1.51357E+13,[2],26486.68267,"[2, 1]",27041.03443
21,2,0.2,0,3.03E+39,[2],18612.18213,"[2, 1]",25258.51121
22,2,0.2,0.8,8.45E+24,[2],26575.40112,"[2, 1]",28211.90238
23,2,0.2,0.9,1.68E+21,[2],30561.10583,"[2, 2]",28553.73938
