,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,ERP,Vendor Name_adviser,Vendor Name_amdahl,Vendor Name_apollo,Vendor Name_basf,Vendor Name_bti,Vendor Name_burroughs,Vendor Name_c.r.d,Vendor Name_cambex,Vendor Name_cdc,Vendor Name_dec,Vendor Name_dg,Vendor Name_formation,Vendor Name_four-phase,Vendor Name_gould,Vendor Name_harris,Vendor Name_honeywell,Vendor Name_hp,Vendor Name_ibm,Vendor Name_ipl,Vendor Name_magnuson,Vendor Name_microdata,Vendor Name_nas,Vendor Name_ncr,Vendor Name_nixdorf,Vendor Name_perkin-elmer,Vendor Name_prime,Vendor Name_siemens,Vendor Name_sperry,Vendor Name_sratus,Vendor Name_wang,Model Name_100,Model Name_1100/61-h1,Model Name_1100/81,Model Name_1100/82,Model Name_1100/83,Model Name_1100/84,Model Name_1100/93,Model Name_1100/94,Model Name_1636-1,Model Name_1636-10,Model Name_1641-1,Model Name_1641-11,Model Name_1651-1,Model Name_2000/260,Model Name_300,Model Name_3000/30,Model Name_3000/40,Model Name_3000/44,Model Name_3000/48,Model Name_3000/64,Model Name_3000/88,Model Name_3000/iii,Model Name_3033:s,Model Name_3033:u,Model Name_3081,Model Name_3081:d,Model Name_3083:b,Model Name_3083:e,Model Name_32,Model Name_32/60,Model Name_3205,Model Name_3210,Model Name_3230,Model Name_370/125-2,Model Name_370/148,Model Name_370/158-3,Model Name_38/3,Model Name_38/4,Model Name_38/5,Model Name_38/7,Model Name_38/8,Model Name_4321,Model Name_4331-1,Model Name_4331-11,Model Name_4331-2,Model Name_4341,Model Name_4341-1,Model Name_4341-10,Model Name_4341-11,Model Name_4341-12,Model Name_4341-2,Model Name_4341-9,Model Name_4361-4,Model Name_4361-5,Model Name_4381-1,Model Name_4381-2,Model Name_4436,Model Name_4443,Model Name_4445,Model Name_4446,Model Name_4460,Model Name_4480,Model Name_470v/7,Model Name_470v/7a,Model Name_470v/7b,Model Name_470v/7c,Model Name_470v/b,Model Name_50-2250,Model Name_50-250-ii,Model Name_50-550-ii,Model Name_50-750-ii,Model Name_50-850-ii,Model Name_500,Model Name_5000,Model Name_580-5840,Model Name_580-5850,Model Name_580-5860,Model Name_580-5880,Model Name_600,Model Name_68/10-80,Model Name_7.521,Model Name_7.531,Model Name_7.536,Model Name_7.541,Model Name_7.551,Model Name_7.561,Model Name_7.865-2,Model Name_7.870-2,Model Name_7.872-2,Model Name_7.875-2,Model Name_7.880-2,Model Name_7.881-2,Model Name_7/65,Model Name_7/68,Model Name_700,Model Name_80,Model Name_80/3,Model Name_80/4,Model Name_80/5,Model Name_80/6,Model Name_80/8,Model Name_800,Model Name_8000,Model Name_8130-a,Model Name_8130-b,Model Name_8140,Model Name_8890/30,Model Name_8890/50,Model Name_8890/70,Model Name_90/80-model-3,Model Name_as/3000,Model Name_as/3000-n,Model Name_as/5000,Model Name_as/5000-e,Model Name_as/5000-n,Model Name_as/6130,Model Name_as/6150,Model Name_as/6620,Model Name_as/6630,Model Name_as/6650,Model Name_as/7000,Model Name_as/7000-n,Model Name_as/8040,Model Name_as/8050,Model Name_as/8060,Model Name_as/9000-dpc,Model Name_as/9000-n,Model Name_as/9040,Model Name_as/9060,Model Name_b1955,Model Name_b2900,Model Name_b2925,Model Name_b4955,Model Name_b5900,Model Name_b5920,Model Name_b6900,Model Name_b6925,Model Name_concept:32/8705,Model Name_concept:32/8750,Model Name_concept:32/8780,Model Name_cyber:170/750,Model Name_cyber:170/760,Model Name_cyber:170/815,Model Name_cyber:170/825,Model Name_cyber:170/835,Model Name_cyber:170/845,Model Name_decsys:10:1091,Model Name_decsys:20:2060,Model Name_dn320,Model Name_dn420,Model Name_dps:6/35,Model Name_dps:6/92,Model Name_dps:6/96,Model Name_dps:7/35,Model Name_dps:7/45,Model Name_dps:7/55,Model Name_dps:7/65,Model Name_dps:8/20,Model Name_dps:8/44,Model Name_dps:8/49,Model Name_dps:8/50,Model Name_dps:8/52,Model Name_dps:8/62,Model Name_eclipse:c/350,Model Name_eclipse:m/600,Model Name_eclipse:mv/10000,Model Name_eclipse:mv/4000,Model Name_eclipse:mv/6000,Model Name_eclipse:mv/8000,Model Name_eclipse:mv/8000-ii,Model Name_f4000/100,Model Name_f4000/200,Model Name_f4000/200ap,Model Name_f4000/300,Model Name_f4000/300ap,Model Name_m80/30,Model Name_m80/31,Model Name_m80/32,Model Name_m80/42,Model Name_m80/43,Model Name_m80/44,Model Name_microvax-1,Model Name_omega:480-i,Model Name_omega:480-ii,Model Name_omega:480-iii,Model Name_seq.ms/3200,Model Name_universe:2203t,Model Name_universe:68,Model Name_universe:68/05,Model Name_universe:68/137,Model Name_universe:68/37,Model Name_v8535:ii,Model Name_v8545:ii,Model Name_v8555:ii,Model Name_v8565:ii,Model Name_v8565:ii-e,Model Name_v8575:ii,Model Name_v8585:ii,Model Name_v8595:ii,Model Name_v8635,Model Name_v8650,Model Name_v8655,Model Name_v8665,Model Name_v8670,Model Name_vax:11/730,Model Name_vax:11/750,Model Name_vax:11/780,Model Name_vs-100,Model Name_vs-90,Target
0,125,256,6000,256,16,128,199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
1,29,8000,32000,32,8,32,253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
2,29,8000,32000,32,8,32,253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
3,29,8000,32000,32,8,32,253,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
4,29,8000,16000,32,8,16,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
5,26,8000,32000,64,8,32,290,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318
6,23,16000,32000,64,16,32,381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367
7,23,16000,32000,64,16,32,381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489
8,23,16000,64000,64,16,32,749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636
9,23,32000,64000,128,32,64,1238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144
