,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0,0.001760991,[1],1.706611331,"[1, 3]",1.553919336
1,0,0.1,0.8,5.801133698,[3],1.663139252,"[3, 2]",1.473419118
2,0,0.1,0.9,4.920768624,[2],2.103137882,"[2, 1]",1.442490816
3,0,0.2,0,8.211601961,[1],1.603580078,"[1, 3]",1.679193268
4,0,0.2,0.8,10.56055214,[2],1.512815619,"[2, 1]",1.439691975
5,0,0.2,0.9,13.11689998,[2],1.499247893,"[2, 2]",1.433191376
6,0,0.3,0,16.27424349,[1],2.94005847,"[1, 3]",1.715710426
7,0,0.3,0.8,11.89342568,[3],1.971460788,"[3, 1]",1.604877094
8,0,0.3,0.9,17.06459932,[1],1.393930758,"[1, 2]",1.409595274
9,1,0.1,0,7.970358822,[1],1.384811178,"[1, 3]",1.449850456
10,1,0.1,0.8,7.061177897,[2],1.526055212,"[2, 2]",1.570481159
11,1,0.1,0.9,11.88650356,[1],1.520475905,"[1, 1]",1.282211092
12,1,0.2,0,9.611657726,[2],2.166194335,"[2, 3]",1.678093339
13,1,0.2,0.8,9.516602996,[1],1.606508239,"[1, 1]",1.372584815
14,1,0.2,0.9,14.54055747,[5],2.392224384,"[5, 2]",1.537343619
15,1,0.3,0,9.561389165,[1],3.185469652,"[1, 3]",1.677973185
16,1,0.3,0.8,11.51647743,[1],1.697685198,"[1, 4]",1.895993626
17,1,0.3,0.9,23.99885733,[1],1.552223332,"[1, 1]",1.437140308
18,2,0.1,0,3.291980854,[3],2.027703503,"[3, 1]",1.486408018
19,2,0.1,0.8,7.535178536,[2],1.488480904,"[2, 2]",1.452669646
20,2,0.1,0.9,10.2157867,[2],1.312641061,"[2, 1]",1.558595663
21,2,0.2,0,9.166149774,[2],1.919152453,"[2, 1]",1.494792935
22,2,0.2,0.8,0.000130614,[3],2.293916897,"[3, 4]",1.480449232
23,2,0.2,0.9,15.33141314,[3],1.226492356,"[3, 1]",1.54109375
24,2,0.3,0,7.022872123,[3],1.649160213,"[3, 2]",1.49300457
25,2,0.3,0.8,17.84458412,[1],1.379176296,"[1, 4]",1.790817161
26,2,0.3,0.9,17.08203308,[3],3.863849025,"[3, 3]",1.725819574
27,3,0.1,0,0.018690578,[3],0.844844041,"[3, 1]",1.528570137
28,3,0.1,0.8,0.01349306,[2],1.489252177,"[2, 5]",1.61934816
29,3,0.1,0.9,7.993586633,[3],1.944072045,"[3, 1]",1.423482215
30,3,0.2,0,0.000426514,[4],1.980122605,"[4, 4]",1.3914371
31,3,0.2,0.8,0.000393493,[2],1.702321255,"[2, 1]",1.393663792
32,3,0.2,0.9,8.25E-05,[1],1.419963743,"[1, 2]",1.587564236
33,3,0.3,0,0.000137228,[3],0.989023623,"[3, 1]",1.532514716
34,3,0.3,0.8,3.70E-08,[1],2.133652168,"[1, 1]",1.514824572
35,3,0.3,0.9,20.23575027,[3],1.294285842,"[3, 1]",2.287100953
36,4,0.1,0,8.580728481,[4],1.205986178,"[4, 3]",1.217850729
37,4,0.1,0.8,6.505000954,[5],0.853578089,"[5, 5]",0.940031683
38,4,0.1,0.9,7.827849542,[1],1.690670063,"[1, 4]",1.41836369
39,4,0.2,0,0.001098081,[2],1.476479578,"[2, 1]",1.396814806
40,4,0.2,0.8,5.57E-05,[3],1.665979899,"[3, 1]",1.489950898
