,Fold,eta,alpha,Error
0,0,0.1,0.0,1.7143244535965947
1,0,0.1,0.7,1.887453253142396
2,0,0.1,0.75,1.2316083496890273
3,0,0.1,0.8,1.6407726829572855
4,0,0.1,0.85,0.9199517625763814
5,0,0.1,0.9,0.9330072318214969
6,0,0.2,0.0,1.166930365387987
7,0,0.2,0.7,0.9354670843097894
8,0,0.2,0.75,1.0261673178829298
9,0,0.2,0.8,1.9509139005519471
10,0,0.2,0.85,0.7944178550339861
11,0,0.2,0.9,1.6525976984120563
12,0,0.30000000000000004,0.0,1.7502020113290688
13,0,0.30000000000000004,0.7,1.1876994996688204
14,0,0.30000000000000004,0.75,1.660724706266331
15,0,0.30000000000000004,0.8,0.15547014216937258
16,0,0.30000000000000004,0.85,2.13540096237563
17,0,0.30000000000000004,0.9,0.6329219238547305
18,0,0.4,0.0,0.33337272086857506
19,0,0.4,0.7,0.13602918278189272
20,0,0.4,0.75,1.7334633394035843
21,0,0.4,0.8,0.9752525402157409
22,0,0.4,0.85,1.039684977962185
23,0,0.4,0.9,0.6807596849861018
24,0,0.5,0.0,0.7930520844806314
25,0,0.5,0.7,0.2897601897492182
26,0,0.5,0.75,0.5024774976835307
27,0,0.5,0.8,0.6544223544721314
28,0,0.5,0.85,0.8535190564924529
29,0,0.5,0.9,0.9807918752641154
30,1,0.1,0.0,1.5967967197334176
31,1,0.1,0.7,1.5290517322622925
32,1,0.1,0.75,1.52008460690222
33,1,0.1,0.8,1.0785274655545234
34,1,0.1,0.85,1.5040941077548355
35,1,0.1,0.9,1.5432300335069007
36,1,0.2,0.0,1.7843909765885195
37,1,0.2,0.7,0.5918421782344491
38,1,0.2,0.75,1.5854162906357545
39,1,0.2,0.8,1.514887645836815
40,1,0.2,0.85,0.9570451357292018
41,1,0.2,0.9,1.4411823262363679
42,1,0.30000000000000004,0.0,1.4414147076003603
43,1,0.30000000000000004,0.7,1.7331993172588984
44,1,0.30000000000000004,0.75,1.7460630970504194
45,1,0.30000000000000004,0.8,1.2923238060848485
46,1,0.30000000000000004,0.85,1.0689792145178216
47,1,0.30000000000000004,0.9,1.3177761380773032
48,1,0.4,0.0,1.4216476880982432
49,1,0.4,0.7,1.6302623241889265
50,1,0.4,0.75,1.3166765147732793
51,1,0.4,0.8,1.4795120274474933
52,1,0.4,0.85,0.6450525593597584
53,1,0.4,0.9,1.651755596111668
54,1,0.5,0.0,0.942826986485994
55,1,0.5,0.7,0.1516478400932323
56,1,0.5,0.75,1.8002412144524225
57,1,0.5,0.8,1.1790450406050246
58,1,0.5,0.85,1.2257086074700883
59,1,0.5,0.9,0.9245851562458606
60,2,0.1,0.0,1.4456239639535464
61,2,0.1,0.7,1.5590812922793047
62,2,0.1,0.75,1.5171554733576877
63,2,0.1,0.8,1.3325059757078037
64,2,0.1,0.85,1.3666089687325014
65,2,0.1,0.9,1.3565306743280923
66,2,0.2,0.0,0.4507188682348892
67,2,0.2,0.7,2.1548354906405818
68,2,0.2,0.75,2.0077338219284426
69,2,0.2,0.8,0.8161084211360898
70,2,0.2,0.85,1.4003685706122961
71,2,0.2,0.9,1.1899796683120196
72,2,0.30000000000000004,0.0,0.44373633607237284
73,2,0.30000000000000004,0.7,1.0445080636946247
74,2,0.30000000000000004,0.75,0.22769235707378818
75,2,0.30000000000000004,0.8,1.407887070080384
76,2,0.30000000000000004,0.85,1.4554315076527229
77,2,0.30000000000000004,0.9,1.2451966489231783
78,2,0.4,0.0,0.7635726309527635
79,2,0.4,0.7,1.0881529082547252
80,2,0.4,0.75,0.2974686502651739
81,2,0.4,0.8,0.39327203190786536
82,2,0.4,0.85,0.46325984060566194
83,2,0.4,0.9,1.1980528896940987
84,2,0.5,0.0,1.298175582754951
85,2,0.5,0.7,0.09511555041008672
86,2,0.5,0.75,1.060288980774039
87,2,0.5,0.8,0.7171241621819507
88,2,0.5,0.85,1.0674599473727988
89,2,0.5,0.9,1.0625863299743963
90,3,0.1,0.0,1.210083931858187
91,3,0.1,0.7,0.8913397597099522
92,3,0.1,0.75,1.3141551751938771
93,3,0.1,0.8,1.298995699534492
94,3,0.1,0.85,0.9543775860309888
95,3,0.1,0.9,1.275000823692983
96,3,0.2,0.0,0.9042288551496972
97,3,0.2,0.7,1.0064554907128989
98,3,0.2,0.75,0.493141894115753
99,3,0.2,0.8,1.0347556494619545
100,3,0.2,0.85,0.42881743957377627
101,3,0.2,0.9,1.501916367535763
102,3,0.30000000000000004,0.0,1.1171018818622123
103,3,0.30000000000000004,0.7,0.47510935075700905
104,3,0.30000000000000004,0.75,1.422722016415265
105,3,0.30000000000000004,0.8,1.4401970225447724
106,3,0.30000000000000004,0.85,1.404881259251002
107,3,0.30000000000000004,0.9,1.5898552674465156
108,3,0.4,0.0,1.057042567972035
109,3,0.4,0.7,1.3764862879121635
110,3,0.4,0.75,1.3558845545128024
111,3,0.4,0.8,1.412092517626787
112,3,0.4,0.85,0.042971106762794184
113,3,0.4,0.9,1.528458593639608
114,3,0.5,0.0,0.9776405498179199
115,3,0.5,0.7,0.7517501444121026
116,3,0.5,0.75,1.3130733753588004
117,3,0.5,0.8,1.3326485365679668
118,3,0.5,0.85,0.3700906555642796
119,3,0.5,0.9,1.4328340948547453
120,4,0.1,0.0,1.0118142202204048
121,4,0.1,0.7,1.0001284423728343
122,4,0.1,0.75,0.8640470894678294
123,4,0.1,0.8,1.561294999842225
124,4,0.1,0.85,1.0332266238448302
125,4,0.1,0.9,1.1108437376989397
126,4,0.2,0.0,1.467608794256948
127,4,0.2,0.7,1.3652601979700658
128,4,0.2,0.75,1.1384848679785193
129,4,0.2,0.8,1.0318647058869668
130,4,0.2,0.85,0.0624065183721794
131,4,0.2,0.9,1.0645589667649136
132,4,0.30000000000000004,0.0,0.6462060338898992
133,4,0.30000000000000004,0.7,0.5392080953245592
134,4,0.30000000000000004,0.75,1.348412885036382
135,4,0.30000000000000004,0.8,1.052801898460382
136,4,0.30000000000000004,0.85,0.9194117222704458
137,4,0.30000000000000004,0.9,1.2941938632146603
138,4,0.4,0.0,0.6284648760952479
139,4,0.4,0.7,0.04199147780114595
140,4,0.4,0.75,1.6748190750624985
141,4,0.4,0.8,0.16500428572966813
142,4,0.4,0.85,0.2558024186911735
143,4,0.4,0.9,1.3365364747617718
144,4,0.5,0.0,0.9777823489473918
145,4,0.5,0.7,1.0025295204431457
146,4,0.5,0.75,0.6194925050686888
147,4,0.5,0.8,0.311464784926639
148,4,0.5,0.85,1.0747790243032003
149,4,0.5,0.9,0.0265292641002287
150,5,0.1,0.0,1.2916133858502024
151,5,0.1,0.7,1.2570520406218
152,5,0.1,0.75,1.2830066600145347
153,5,0.1,0.8,1.306740530514837
154,5,0.1,0.85,1.2808463296590618
155,5,0.1,0.9,0.787421713510286
156,5,0.2,0.0,1.4438269723147794
157,5,0.2,0.7,1.2863193049065105
158,5,0.2,0.75,1.342560705740149
159,5,0.2,0.8,1.4559571870237866
160,5,0.2,0.85,1.3917656033499304
161,5,0.2,0.9,1.5007885894243045
162,5,0.30000000000000004,0.0,1.6794262966421332
163,5,0.30000000000000004,0.7,1.1358303495612891
164,5,0.30000000000000004,0.75,1.2303595968889074
165,5,0.30000000000000004,0.8,0.5468966413242173
166,5,0.30000000000000004,0.85,1.5702359734108393
167,5,0.30000000000000004,0.9,0.9959417268291682
168,5,0.4,0.0,0.5746399290855853
169,5,0.4,0.7,1.1021930819026973
170,5,0.4,0.75,1.1840085227244292
171,5,0.4,0.8,1.2230167606035112
172,5,0.4,0.85,0.6974008066697437
173,5,0.4,0.9,0.14203751457038888
174,5,0.5,0.0,0.4056332593833346
175,5,0.5,0.7,0.6694707130807226
176,5,0.5,0.75,0.9953740839946897
177,5,0.5,0.8,1.1399224872497176
178,5,0.5,0.85,1.2835118380559152
179,5,0.5,0.9,1.092446843961137
180,6,0.1,0.0,1.3256174411509427
181,6,0.1,0.7,1.087725264614361
182,6,0.1,0.75,1.3524113555650386
183,6,0.1,0.8,1.4137082329692565
184,6,0.1,0.85,1.4991586366713716
185,6,0.1,0.9,0.9236196292982733
186,6,0.2,0.0,1.1694096679579582
187,6,0.2,0.7,0.8999610255994843
188,6,0.2,0.75,0.9488576507854989
189,6,0.2,0.8,1.109589262378376
190,6,0.2,0.85,1.2142495539610332
191,6,0.2,0.9,1.4363880855591598
192,6,0.30000000000000004,0.0,1.4285036623272558
193,6,0.30000000000000004,0.7,0.7924545624146618
194,6,0.30000000000000004,0.75,0.7541169575436449
195,6,0.30000000000000004,0.8,0.7479384211731693
196,6,0.30000000000000004,0.85,0.7527234727433199
197,6,0.30000000000000004,0.9,1.193716729006716
198,6,0.4,0.0,1.0785840090628578
199,6,0.4,0.7,0.6728498587384761
200,6,0.4,0.75,0.7012635627454363
201,6,0.4,0.8,0.6695140056638297
202,6,0.4,0.85,0.7716089219637516
203,6,0.4,0.9,0.9588960021122772
204,6,0.5,0.0,0.3725206337416514
205,6,0.5,0.7,0.5846028373968045
206,6,0.5,0.75,0.6164693980718291
207,6,0.5,0.8,0.9336774926957404
208,6,0.5,0.85,0.587099241177771
209,6,0.5,0.9,0.6541892423321559
210,7,0.1,0.0,1.373388037451225
211,7,0.1,0.7,1.025255183040163
212,7,0.1,0.75,1.6363609852144683
213,7,0.1,0.8,0.8620368520461151
214,7,0.1,0.85,1.5655550526251172
215,7,0.1,0.9,0.7501474512715043
216,7,0.2,0.0,0.6230808756461371
217,7,0.2,0.7,1.3046947301292184
218,7,0.2,0.75,1.656270881256857
219,7,0.2,0.8,1.1058447137035823
220,7,0.2,0.85,0.631338089491757
221,7,0.2,0.9,0.5551232478069116
222,7,0.30000000000000004,0.0,1.4125022539486003
223,7,0.30000000000000004,0.7,0.9971766731223561
224,7,0.30000000000000004,0.75,0.39309029681124574
